0:  zero-function
822:  -231-041-230-161-574
824:  -032-234-451-160-574
826:  -234-143-032-263-571
828:  -130-242-134-564
830:  -131-021-453-134-273-681
832:  -134-010-234-452-670
834:  -031-124-244-563
836:  -233-143-132-063-571
838:  -123-031-453-164
840:  -134-031-254-460
842:  -032-244-354-142-274-682
844:  -013-242-134-563
846:  -031-240-032-161-374-583
848:  -032-122-234-451-672
850:  -031-122-244-563
852:  -121-040-344-563
854:  -121-031-454
856:  -031-143-354-244-673
858:  -031-130-244-563
860:  -020-341-121-564
862:  -032-122-234-451-674
864:  -023-144-234-563
866:  -022-234-451-023-174-682
868:  -031-234-452-161-474
870:  -230-031-141-564
872:  -121-031-344-120-574-680
874:  -234-044-353-143-674
876:  -230-020-154-461-374
878:  -134-243-014-363-571
880:  -023-142-234-563
882:  -022-234-451-023-172-682
884:  -121-010-351-464
886:  -032-144-123-561-374
888:  -010-244-152-362-574
890:  -234-044-353-143-671
892:  -121-344-020-160-572
894:  -032-124-244-561-374
896:  -031-140-254-354-673
898:  -233-124-032-461-573
900:  -032-244-134-563
902:  -024-341-250-154-673
904:  -230-141-354-053-672
906:  -031-130-452-123-672
908:  -134-010-252-462
910:  -031-124-452-354-170-684
912:  -020-144-234-563
914:  -014-341-254-150-672
916:  -121-031-124-564-344-780
918:  -230-031-142-254-674
920:  -121-040-344-154-672
922:  -234-143-032-564
924:  -023-144-230-561-374
926:  -124-344-253-054-373-681
928:  -031-130-251-460-374
930:  -134-243-051-354-672
932:  -024-343-121-364-573
934:  -121-024-351-464
936:  -121-031-344-560
938:  -233-143-032-561
940:  -121-023-351-464
942:  -134-243-032-561
944:  -234-020-152-462
946:  -031-124-452-354-270-684
948:  -013-234-454-130-672
950:  -234-143-122-064-373-581
952:  -121-013-344-563
954:  -234-143-032-561
956:  -121-120-053-344-673
958:  -230-142-254-032-364-781
960:  -124-234-453
962:  -134-022-451-124-672
964:  -021-343-134-254-672
966:  -031-130-243-561-174
968:  -134-010-251-364-470
970:  -234-140-254-041-673
972:  -230-141-354
974:  -031-234-452-161-374
976:  -031-143-254-234-670
978:  -031-143-254-230-672
980:  -124-040-121-351-674
982:  -121-120-052-361-474
984:  -124-040-354-264-340-782
986:  -031-234-150-462-274
988:  -032-242-151-364
990:  -121-012-351-464
992:  -234-020-151-364-470
994:  -134-240-154-041-673
996:  -014-124-453-361-121-784
998:  -134-240-031-563-174
1000:  -124-043-121-351-674
1002:  -134-234-032-450-671
1004:  -031-240-151-364
1006:  -011-343-133-263-571
1008:  -122-342-254
1010:  -032-122-234-461-573
1012:  -032-142-251-364
1014:  -121-022-351-464
1016:  -031-140-251-364
1018:  -022-341-130-254-673
1020:  -121-344
1022:  -032-241-151-364
1024:  -013-243-350
1026:  -134-034-241-562
1028:  -021-142
1030:  -014-243-030-562
1032:  -034-243-150
1034:  -133-034-453-263
1036:  -030-122-453
1038:  -030-011-241-562
1040:  -124-234-450-063
1042:  -134-020-451-034-274-683
1044:  -133-124-453-063
1046:  -020-142-352-054-274-683
1048:  -030-141-124-354-074-682
1050:  -013-024-344-354-673
1052:  -024-343-142-124-561-780
1054:  -024-340-013-561-474
1056:  -034-014-234-460-570
1058:  -023-342-054-014-670
1060:  -133-124-014-560-473
1062:  -131-122-452-044-673
1064:  -230-124-034-560-473
1066:  -024-142-054-034-670
1068:  -134-042-124-154-670
1070:  -024-142-054-352-672
1072:  -030-142-354-124-673
1074:  -021-144-134-562
1076:  -133-124-453-022-672
1078:  -021-340-151-464
1080:  -013-344-124-563
1082:  -022-124-142-364-451-783
1084:  -013-342-124-563
1086:  -134-240-041-261-351-784
1088:  -234-140-053
1090:  -034-244-030-014-562-780
1092:  -230-013-453
1094:  -020-141-054-021-370-682
1096:  -031-244-150-030-672
1098:  -124-043-034-354-264-783
1100:  -030-034-142-250-672
1102:  -134-031-042-164-250-782
1104:  -121-043-234-560
1106:  -024-344-121-064-570
1108:  -134-241-354-063
1110:  -024-340-122-561-474
1112:  -234-044-144-261-374-580
1114:  -024-122-451-360-474
1116:  -134-044-252-030-164-783
1118:  -024-122-354-461-374
1120:  -030-234-453-014-670
1122:  -014-122-354-462
1124:  -122-232-451-014-670
1126:  -021-014-340-562
1128:  -021-020-344-154-670
1130:  -030-234-150-461-074
1132:  -021-020-340-154-673
1134:  -134-044-251-162-353-781
1136:  -121-010-234-452-670
1138:  -023-344-054-154-473-682
1140:  -134-242-052-162-574
1142:  -021-010-343-142-563-781
1144:  -230-034-150-461-274
1146:  -021-024-152-344-364-782
1148:  -124-344-052-250-162-784
1150:  -024-142-054-352-461-783
1152:  -024-234-142-560
1154:  -134-244-034-563-011-780
1156:  -230-024-142-563
1158:  -014-344-052-464-244-780
1160:  -230-034-453-160
1162:  -024-142-022-561-034-780
1164:  -030-023-142-563
1166:  -024-142-022-561-030-782
1168:  -134-030-234-452-074-682
1170:  -122-344-124-064-573
1172:  -034-014-254-451-174-682
1174:  -024-144-021-360-572
1176:  -034-023-454-144-672
1178:  -234-140-254-352-064-783
1180:  -021-014-352-454-673
1182:  -123-044-021-353-162-781
1184:  -133-041-254-234-673
1186:  -034-122-354-462
1188:  -121-043-254-230-672
1190:  -122-342-044-563
1192:  -121-034-450-023-672
1194:  -122-342-034-563
1196:  -234-040-151-263-574
1198:  -122-344-051-364
1200:  -013-234-244-560
1202:  -013-012-244-561-344-782
1204:  -230-013-451-264
1206:  -013-012-244-561-342-782
1208:  -021-124-010-344-561-780
1210:  -021-134-344-053-672
